provider,priority,enabled,decisions_made,trades_executed,errors,avg_latency,last_decision,account_value,return_pct,win_rate,total_trades
openai,3,True,2,0,2,5.455832600593567,2025-10-30T11:26:05.375071,100.0,0.0,0,0
deepseek,1,True,2,2,0,7.09040892124176,2025-10-30T11:26:06.067084,48.915994036009,-51.084005963991,0,2
groq,2,True,2,2,0,1.3586175441741943,2025-10-30T11:25:59.901887,24.900050100025002,-75.09994989997499,0,2
anthropic,4,True,2,2,0,22.54787290096283,2025-10-30T11:26:07.256944,2.1992637890722513,-97.80073621092775,0,2
